"Title","MIC","docking score"
"3.12",2.0000,-8.599
"3.52",0.2500,-8.411
"3.12",2.0000,-8.274
"3.57",1.0000,-8.040
"4.77",16.0000,-8.015
"3.58",0.2500,-7.999
"4.50",16.0000,-7.935
"3.61",16.0000,-7.743
"3.59",8.0000,-7.550
"3.15",0.5000,-7.544
"3.13",8.0000,-7.524
"3.31",8.0000,-7.475
"3.56",0.5000,-7.460
"3.28",8.0000,-7.457
"3.30",4.0000,-7.380
"3.17",1.0000,-7.375
"3.57",1.0000,-7.353
"3.42",4.0000,-7.337
"4.55",1.0000,-7.331
"3.27",8.0000,-7.304
"6.21",0.0200,-7.290
"3.58",0.2500,-7.267
"6.25",0.0300,-7.259
"3.53",4.0000,-7.235
"3.42",4.0000,-7.203
"3.22",4.0000,-7.185
"3.26",0.1200,-7.142
"3.21",4.0000,-7.136
"3.54",0.1250,-7.128
"3.37",1.0000,-7.124
"3.8",0.2500,-7.108
"3.52",0.2500,-7.105
"3.43",2.0000,-7.073
"3.49",0.0630,-7.062
"3.60",16.0000,-7.059
"3.6",0.2500,-7.048
"3.51",0.5000,-6.997
"3.62",2.0000,-6.979
"4.81",1.0000,-6.977
"3.48",0.1300,-6.972
"3.36",4.0000,-6.950
"4.53",0.2500,-6.934
"6.16",0.2500,-6.920
"4.79",1.0000,-6.911
"3.34",0.2500,-6.898
"3.38",0.2500,-6.887
"4.38",0.0300,-6.880
"3.35",1.0000,-6.870
"3.25",0.2500,-6.853
"3.50",0.0630,-6.842
"4.49",0.0630,-6.831
"3.14",4.0000,-6.827
"4.63",0.1250,-6.824
"3.10",8.0000,-6.823
"3.4",0.2500,-6.819
"2.7",0.2500,-6.819
"3.47",0.2500,-6.817
"3.55",1.0000,-6.815
"6.18",2.0000,-6.800
"2.8",2.0000,-6.785
"3.41",8.0000,-6.784
"4.59",0.0630,-6.756
"3.32",0.1200,-6.744
"4.58",0.0160,-6.723
"3.33",0.2500,-6.699
"3.7",0.5000,-6.690
"3.9",1.5000,-6.661
"3.44",8.0000,-6.655
"3.24",2.0000,-6.649
"4.54",0.5000,-6.638
"3.31",8.0000,-6.620
"3.15",0.5000,-6.618
"6.9",0.5000,-6.612
"6.14",0.5000,-6.605
"3.18",0.5000,-6.597
"3.23",8.0000,-6.595
"3.29",2.0000,-6.595
"6.5",0.0200,-6.590
"3.11",8.0000,-6.561
"3.45",0.5000,-6.559
"4.72",0.1250,-6.556
"6.24",16.0000,-6.549
"3.16",1.5000,-6.538
"3.40",8.0000,-6.533
"4.41",0.0500,-6.532
"4.67",0.2500,-6.527
"4.65",16.0000,-6.526
"4.71",16.0000,-6.523
"4.48",0.5000,-6.522
"4.56",0.5000,-6.512
"4.43",0.2500,-6.501
"4.51",0.0630,-6.495
"4.75",16.0000,-6.484
"4.39",0.0300,-6.468
"6.13",0.2500,-6.464
"3.30",4.0000,-6.456
"4.78",1.0000,-6.456
"6.19",0.1300,-6.448
"6.7",4.0000,-6.435
"3.39",2.0000,-6.404
"6.8",0.0600,-6.397
"6.10",1.0600,-6.385
"3.39",2.0000,-6.367
"4.42",4.0000,-6.360
"4.37",0.0160,-6.344
"4.76",8.0000,-6.323
"4.73",0.5000,-6.317
"4.40",0.0600,-6.314
"3.46",0.2500,-6.309
"4.57",0.0310,-6.289
"4.66",8.0000,-6.267
"6.6",0.0200,-6.248
"4.82",2.0000,-6.247
"4.69",2.0000,-6.246
"4.35",0.0080,-6.225
"4.44",0.1250,-6.189
"4.52",2.0000,-6.188
"4.46",0.5000,-6.184
"6.23",0.0300,-6.179
"4.68",0.5000,-6.173
"4.85",64.0000,-6.148
"6.11",2.0000,-6.108
"4.6",0.0160,-6.107
"AM8085",0.0160,-6.107
"AM8191",0.0200,-6.078
"4.47",0.2500,-6.070
"4.84",32.0000,-6.066
"4.45",0.0310,-6.050
"4.70",0.1250,-6.027
"4.36",0.0310,-5.993
"4.80",8.0000,-5.988
"AM8192",0.0600,-5.984
"4.86",16.0000,-5.939
"3.53",4.0000,-5.899
"4.45",0.0310,-5.735
"4.83",64.0000,-5.735
"6.12",8.0000,-5.679
"4.74",4.0000,-5.582
"6.19",0.1300,-5.403
"4.62",8.0000,-5.333
"4.64",16.0000,-5.277
"6.20",16.0000,-4.883
"6.22",0.0300,-4.571
"4.61",32.0000,-4.531
"4.60",8.0000,-4.292
"4.87",16.0000,-3.494
