"Title","MIC","MMGBSA dG Bind"
"3.38",0.2500,-77.748
"3.37",1.0000,-75.832
"3.44",8.0000,-75.282
"3.34",0.2500,-72.435
"3.25",0.2500,-71.697
"3.58",0.2500,-71.157
"5.50",0.2500,-70.597
"3.42",4.0000,-70.243
"5.9",0.1250,-69.871
"3.26",0.1200,-68.962
"3.36",4.0000,-68.567
"5.47",0.2500,-68.369
"4.55",1.0000,-68.127
"3.42",4.0000,-68.073
"3.22",4.0000,-67.619
"3.48",0.1300,-67.608
"3.58",0.2500,-67.417
"3.47",0.2500,-67.413
"5.67",0.1250,-67.366
"6.18",2.0000,-66.984
"3.35",1.0000,-66.778
"3.43",2.0000,-66.541
"6.5",0.0200,-66.280
"5.45",0.0310,-66.256
"3.24",2.0000,-66.223
"5.59",0.1250,-65.946
"5.51",0.0630,-65.657
"5.53",1.0000,-65.426
"5.18",0.0630,-65.256
"3.6",0.2500,-65.030
"3.8",0.2500,-64.416
"4.49",0.0630,-64.214
"3.40",8.0000,-64.157
"3.21",4.0000,-64.155
"3.12",2.0000,-64.063
"AM8191",0.0200,-63.959
"4.63",0.1250,-63.775
"4.67",0.2500,-63.705
"3.32",0.1200,-63.699
"3.33",0.2500,-63.288
"5.64",8.0000,-63.049
"5.63",0.0630,-62.991
"5.60",0.5000,-62.924
"4.36",0.0310,-62.914
"4.70",0.1250,-62.859
"6.23",0.0300,-62.809
"6.8",0.0600,-62.783
"4.78",1.0000,-62.759
"5.21",0.0630,-62.730
"4.51",0.0630,-62.471
"3.27",8.0000,-62.368
"3.12",2.0000,-62.188
"5.52",0.0630,-62.170
"5.61",1.0000,-62.168
"5.48",16.0000,-62.132
"3.39",2.0000,-62.072
"5.19",0.2500,-62.033
"6.16",0.2500,-61.878
"3.54",0.1250,-61.806
"5.20",1.0000,-61.771
"3.18",0.5000,-61.660
"4.48",0.5000,-61.605
"3.39",2.0000,-61.472
"6.7",4.0000,-61.452
"5.17",0.0310,-61.064
"5.23",0.1250,-61.060
"6.24",16.0000,-61.006
"3.41",8.0000,-60.893
"4.66",8.0000,-60.876
"4.53",0.2500,-60.835
"3.9",1.5000,-60.677
"5.11",0.1250,-60.634
"4.59",0.0630,-60.594
"4.50",16.0000,-60.588
"3.49",0.0630,-60.502
"4.45",0.0310,-60.499
"4.79",1.0000,-60.474
"3.30",4.0000,-60.403
"5.62",0.1250,-60.398
"5.12",0.0630,-60.389
"3.61",16.0000,-60.385
"3.29",2.0000,-60.339
"5.8",0.0630,-60.265
"5.16",0.0160,-60.212
"5.26",0.1250,-60.123
"4.58",0.0160,-60.086
"5.7",0.2500,-60.076
"4.37",0.0160,-59.978
"6.25",0.0300,-59.975
"3.31",8.0000,-59.963
"6.13",0.2500,-59.934
"3.30",4.0000,-59.733
"AM8085",0.0160,-59.724
"4.6",0.0160,-59.724
"5.3",0.0160,-59.724
"5.30",0.5000,-59.701
"3.53",4.0000,-59.591
"5.14",0.0630,-59.577
"5.66",0.1250,-59.544
"3.17",1.0000,-59.481
"5.49",0.0310,-59.401
"5.54",16.0000,-59.206
"4.35",0.0080,-59.200
"3.10",8.0000,-59.175
"4.73",0.5000,-59.135
"5.46",0.0630,-59.108
"4.45",0.0310,-59.078
"4.72",0.1250,-59.076
"6.19",0.1300,-58.788
"6.21",0.0200,-58.727
"4.54",0.5000,-58.710
"3.62",2.0000,-58.629
"4.40",0.0600,-58.481
"5.65",16.0000,-58.446
"3.31",8.0000,-58.421
"3.51",0.5000,-58.409
"3.52",0.2500,-58.200
"5.29",0.2500,-58.085
"3.11",8.0000,-57.975
"4.81",1.0000,-57.927
"4.77",16.0000,-57.733
"3.55",1.0000,-57.664
"4.41",0.0500,-57.654
"4.52",2.0000,-57.503
"6.10",1.0600,-57.464
"5.10",0.0630,-57.400
"5.28",0.2500,-57.397
"4.62",8.0000,-57.343
"2.8",2.0000,-57.318
"3.23",8.0000,-57.268
"2.7",0.2500,-57.248
"3.4",0.2500,-57.248
"5.6",0.0310,-57.203
"5.15",0.0310,-57.171
"5.33",0.2500,-56.936
"5.32",1.0000,-56.798
"3.50",0.0630,-56.731
"4.57",0.0310,-56.723
"4.46",0.5000,-56.681
"5.5",0.5000,-56.681
"5.13",0.0160,-56.673
"4.74",4.0000,-56.639
"6.19",0.1300,-56.498
"3.59",8.0000,-56.239
"6.6",0.0200,-56.231
"6.9",0.5000,-56.163
"4.47",0.2500,-56.062
"4.39",0.0300,-56.017
"4.85",64.0000,-56.007
"3.14",4.0000,-55.978
"3.28",8.0000,-55.944
"3.52",0.2500,-55.858
"5.31",0.5000,-55.560
"4.69",2.0000,-55.385
"4.68",0.5000,-55.203
"3.7",0.5000,-55.143
"4.86",16.0000,-55.081
"4.82",2.0000,-55.066
"3.16",1.5000,-55.064
"6.14",0.5000,-54.846
"3.53",4.0000,-54.688
"4.76",8.0000,-54.491
"4.84",32.0000,-54.342
"4.87",16.0000,-54.169
"4.71",16.0000,-54.125
"6.11",2.0000,-54.055
"4.38",0.0300,-53.890
"AM8192",0.0600,-53.808
"3.15",0.5000,-53.764
"4.56",0.5000,-53.437
"3.60",16.0000,-52.938
"6.20",16.0000,-52.779
"4.44",0.1250,-52.393
"4.42",4.0000,-52.037
"3.15",0.5000,-50.989
"4.43",0.2500,-50.901
"4.75",16.0000,-49.582
"4.60",8.0000,-49.515
"3.57",1.0000,-49.022
"3.56",0.5000,-48.426
"4.80",8.0000,-48.141
"3.45",0.5000,-47.895
"4.64",16.0000,-47.732
"3.46",0.2500,-46.814
"4.65",16.0000,-46.582
"3.57",1.0000,-43.460
"4.83",64.0000,-43.130
"6.12",8.0000,-41.902
"4.61",32.0000,-39.913
"6.22",0.0300,-30.312
"3.13",8.0000,-29.346
